onetsoccode,occupation_title,median_annual_wage_2024,mean_annual_wage_2024,total_employment_2024,observed_exposure,pss,pred_productivity_effect,expertise_percentile,"Employment Percent Change, 2024-2034"
41-2011,Cashiers,31190.0,31810.0,3148030.0,0.0846,0.15731948614120483,0.10155496746301651,16.145933151245117,-9.9
41-2012,Gambling Change Persons and Booth Cashiers,34810.0,36820.0,21930.0,0.0,0.17270362377166748,0.11804499477148056,18.129283905029297,-6.4
41-2021,Counter and Rental Clerks,38540.0,43700.0,398620.0,0.2048,0.0010325312614440918,0.2858005166053772,8.384090423583984,3.2
41-2022,Parts Salespersons,37440.0,42390.0,265060.0,0.0,0.06564390659332275,0.1983632594347,29.670726776123047,3.1
41-2031,Retail Salespersons,34580.0,37150.0,3800250.0,0.3222,0.07669126987457275,0.16153430938720703,11.851054191589355,-0.5
41-3011,Advertising Sales Agents,61460.0,76350.0,97470.0,0.1482,0.04840880632400513,0.29554665088653564,44.31378173828125,-6.4
41-3021,Insurance Sales Agents,60370.0,81510.0,469480.0,0.3188,0.0907214879989624,0.2908549904823303,44.21400451660156,3.7
41-3031,"Securities, Commodities, and Financial Services Sales Agents",78140.0,110400.0,472300.0,0.4413,0.11710011959075928,0.2890539765357971,59.93064498901367,3.3
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",66260.0,81260.0,1189330.0,,0.11894583702087402,,31.27511215209961,3.1
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",100070.0,114520.0,293930.0,0.2706,0.10825526714324951,0.2888157069683075,38.96616744995117,1.9
41-4011,Solar Sales Representatives and Assessors,100070.0,114520.0,293930.0,0.2706,0.14042669534683228,0.2395179271697998,52.016578674316406,1.9
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",66780.0,81470.0,1266860.0,0.6279,0.12827074527740479,0.2996724843978882,40.901206970214844,0.3
41-9011,Demonstrators and Product Promoters,37960.0,43730.0,64770.0,0.0788,0.12467080354690552,0.061723217368125916,24.05906867980957,-0.1
41-9012,Models,89990.0,81540.0,5350.0,0.0,0.012714564800262451,0.11111251264810562,29.44198226928711,-0.5
41-9021,Real Estate Brokers,72280.0,91660.0,49590.0,0.2609,0.13037800788879395,0.25,54.379188537597656,3.3
41-9022,Real Estate Sales Agents,56320.0,70970.0,190600.0,0.2828,0.09075963497161865,0.22424744069576263,42.79800796508789,3.1
41-9031,Sales Engineers,121520.0,130410.0,56690.0,0.3224,0.09941321611404419,0.27945083379745483,51.224273681640625,5.5
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",34530.0,39890.0,4590.0,0.1758,0.033877789974212646,0.14415305852890015,4.33504581451416,-10.0
43-1011,First-Line Supervisors of Office and Administrative Support Workers,66140.0,71560.0,1495580.0,0.1856,0.04109543561935425,0.2592977285385132,46.17693328857422,-0.3
43-2011,"Switchboard Operators, Including Answering Service",38370.0,42130.0,35730.0,0.3863,0.03715693950653076,0.3244023025035858,4.078042507171631,-26.3
43-2021,Telephone Operators,39130.0,42880.0,3950.0,0.0,0.22505170106887817,0.45098990201950073,22.941326141357422,-27.5
43-3011,Bill and Account Collectors,46040.0,48370.0,165020.0,0.2989,0.0083848237991333,0.3434824049472809,30.417240142822266,-10.5
43-3021,Billing and Posting Clerks,47170.0,49490.0,417500.0,0.1924,0.0924714207649231,0.438819020986557,28.508913040161133,-0.4
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",49210.0,52020.0,1455770.0,0.3104,0.11183685064315796,0.4246467053890228,32.520294189453125,-5.8
43-3041,Gambling Cage Workers,36990.0,38600.0,13490.0,0.0653,-0.00020503997802734375,0.18908090889453888,18.13629913330078,-5.0
43-3051,Payroll and Timekeeping Clerks,55290.0,56870.0,156950.0,0.0487,0.10121709108352661,0.4467904567718506,33.495880126953125,-16.7
43-3061,Procurement Clerks,48510.0,50430.0,59900.0,0.2436,0.01535099744796753,0.3126200735569,28.59246826171875,-8.7
43-3071,Tellers,39340.0,40940.0,339340.0,0.0231,0.04752182960510254,0.27853554487228394,24.02535629272461,-12.9
43-4011,Brokerage Clerks,62940.0,67680.0,40090.0,0.1744,0.03598034381866455,0.3896285593509674,33.77876281738281,-9.5
43-4021,Correspondence Clerks,46740.0,46610.0,6260.0,0.2786,0.13199520111083984,0.4940083622932434,22.990375518798828,-5.6
